SampleID,rphB,OXA-237,OXY-3-1,EreA,cmlv,rphA,FosM1,lin,IMP-37,OXA-1243,CfxA5,SHV-122,CMY-89,CGA-1,ASU1-1,BUT-1,OXA-1091,CIA-1,OXA-245,vatC,tet(50),CAE-1,FOX-18,Streptomyces venezuelae rox,WUS-1,vatF,FosX,OXA-1108,RAHN-5,OXA-959,LRA-9,OXA-1206,SSA,OXA-22,vgbC,PRC-1,CHM-1,RAA-1,AAC(3)-Id,ADC-355,catB9,LMB-1,nimF,FAR-1,OXA-53,OXA-1106,OXA-1051,PDC-89,FosBx1,aadA25,CMY-192,LRA-13,tet(X4),APH(6)-Id,Clostridioides difficile nimB,PER-1,KPC-30,SHV-173,FomB,OXA-1056,EBR-2,ANT(6)-Ia,AAC(3)-Ib,aadA2,APH(7'')-Ia,IMP-21,BRO-2,ANT(3'')-II-AAC(6')-IId bifunctional protein,vph,APH(2'')-If,DIM-1,RCP-1,IDC-1,CMY-144,MexA,MexK,smeD,lmrB,amrA,opmE,OprM,MexB,cmeB,MuxB,patB,TaeA,OprN,AcrF,mlaF,tetB(46),mexN,tet(L),mdsB,LptD,adeK,mdtC,mdsC,mexY,tetA(46),rosB,patA,MexD,LpeB,cprR,cmlA8,fexB,smeE,abeM,qacA,smeC,RanA,adeB,Enterococcus faecium liaR mutant conferring daptomycin resistance,tet(42),Neisseria gonorrhoeae mtrR with mutation conferring resistance,mtrD,msbA,oqxB,TriC,MexE,MuxC,lmrD,oleC,ceoB,adeJ,pexA,MexI,bmr,cdeA,macB,basR,efrB,Acinetobacter baumannii AbaF,kdpE,acrB,tet(K),qacE,TriB,hmrM,MexW,mdtF,tet(39),bcrA,tetA(58),mreA,YojI,cmlA9,mdtB,tet(40),tetB(58),kdpD,novA,MexF,cmx,rosA,tet(33),mtrC,mexQ,tetA(60),mdtM,MexV,basS,Escherichia coli emrE,efpA,mexM,tet(65),smeB,farB,adeF,Enterococcus faecalis liaS mutant conferring daptomycin resistance,smeF,mdtO,tetB(60),Staphylococcus aureus LmrS,PmpM,QepA4,OpmH,tet(C),OpmD,otr(B),tet(41),Escherichia coli mdfA,mdtH,Staphylococcus aureus norA,amrB,mexP,MuxA,emrA,adeC,emrY,sdrM,hp1181,tet(H),qacL,qacJ,mdsA,Enterobacter cloacae acrA,cmeC,Pseudomonas aeruginosa emrE,oqxA,OprA,adeA,farA,Neisseria gonorrhoeae mtrC with mutation conferring resistance to azithromycin,Enterococcus faecium liaF mutant conferring daptomycin resistance,LpeA,adeH,tet(57),RanB,tet(43),cmeA,mdtE,cprS,cmrA,cmlB,Rhodococcus fascians cmr,TolC,mdtN,Enterococcus faecalis liaR mutant conferring daptomycin resistance,emrB,bcrB,tetA(P),otr(C),smeA,tcr3,mef(E),blt,qacEdelta1,tet(Y),MdtK,cmlB1,OpmB,Klebsiella pneumoniae KpnE,ykkC,mdtA,MexJ,adeG,tet(E),MexH,opcM,adeI,tet(63),AcrE,mexX,mtrE,TriA,mlaD,emeA,tet(B),tet(V),OprJ,macA,Klebsiella pneumoniae acrA,emrK,efmA,mef(B),Acinetobacter baumannii AbaQ,ykkD,mef(D),cmlA4,mdtG,Enterococcus faecium liaS mutant conferring daptomycin resistance,YajC,mef(F),Acinetobacter baumannii AmvA,tet(30),mdtP,MexG,tet(45),pmrA,tet(D),qacB,mef(C),cmlA5,MexC,bcr-1,lfrA,lmrP,tet(62),facT,floR,tet(31),aadT,Mef(En2),tet(J),tap,Streptomyces lividans cmlR,tet(59),pp-flo,qacH,tet(Z),tet(G),Klebsiella pneumoniae KpnF,Escherichia coli acrA,fexA,Salmonella enterica cmlA,ceoA,cmlA1,mef(J),QepA2,mef(H),cmlA6
ERR11181229 ,0,1,1,33,0,0,0,0,0,174,75,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,7,69,0,9,0,0,0,0,0,0,0,29,0,0,0,48,0,0,0,4,0,0,0,11,2,0,0,0,0,14,0,3,0,0,0,3,0,2,0,0,0,1,0,8,0,1,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,2,0,0,11,4,85,0,0,0,2,9,10,4,0,0,0,45,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,2,144,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,1,0,0,0,0,0,64,5,0,2,0,0,0,0,0,0,21,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,8,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,2,0,4,0,3,0,2,0,0,0,4
ERR11181230 ,0,4,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11181231 ,0,2,0,25,0,0,0,0,0,122,54,0,2,0,0,0,0,0,1,0,0,0,14,0,0,0,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,189,1,0,9,107,0,11,4,0,0,0,0,4,0,63,0,0,0,116,0,0,0,15,0,2,0,15,0,0,0,0,2,10,0,0,0,0,0,19,2,0,0,2,0,2,0,8,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,1,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,2,15,0,3,0,0,17,14,346,0,0,0,8,1,11,11,0,0,0,39,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,218,0,0,0,6,2,0,0,0,0,3,0,4,0,0,31,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,85,6,0,0,0,0,0,4,0,0,93,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,44,0,0,0,6,2,0,1,0,0,0,7,0,0,0,0,0,17,46,0,0,0,0,0,0,25,12,1,50,0,0,0,0,5,0,0,10,0,2,0,10,0,25,0,0,0,21
ERR11181232 ,0,0,0,22,0,0,0,0,0,214,60,0,5,0,0,0,0,0,4,0,0,0,14,0,0,0,0,5,0,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,191,6,0,2,131,0,26,0,0,0,0,0,8,0,39,0,0,0,238,0,0,0,0,2,0,2,14,0,0,0,0,0,31,0,12,0,0,0,28,7,0,0,0,0,1,0,26,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,11,3,6,1,2,0,0,1,5,0,0,0,0,0,0,0,0,2,19,0,4,0,0,28,29,146,0,0,0,2,10,26,13,0,0,0,23,4,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,3,306,0,0,0,6,19,0,0,0,0,12,0,7,0,0,2,17,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,14,0,10,0,5,0,0,0,0,0,139,1,0,0,0,0,0,11,0,0,273,0,0,0,0,15,0,0,0,3,0,2,0,0,0,1,4,0,45,0,0,0,11,5,0,0,0,0,0,10,0,0,0,2,0,16,97,0,0,0,0,0,0,4,0,0,55,0,0,0,0,2,0,0,9,0,13,0,13,0,29,0,0,0,13
ERR11181233 ,0,0,1,31,0,0,0,0,0,151,41,0,2,0,0,0,0,0,4,0,0,0,23,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,6,0,14,91,0,9,0,0,0,0,0,2,0,44,0,0,0,113,0,0,0,0,0,2,0,8,0,0,0,0,0,9,0,1,0,0,0,37,6,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,18,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,7,0,0,3,8,146,0,0,0,7,4,16,14,0,0,0,23,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,0,9,0,0,0,0,2,204,0,0,0,8,7,0,0,0,0,11,0,1,0,0,66,24,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,3,0,8,0,0,0,0,0,0,0,100,3,0,0,0,0,0,1,0,0,108,0,0,0,0,1,0,0,0,2,0,2,0,0,0,2,8,0,10,0,0,0,4,2,0,0,0,0,0,11,0,0,0,0,0,37,46,0,0,0,0,0,0,4,0,0,46,0,0,0,0,1,0,0,4,0,8,0,9,0,23,0,0,0,11
ERR11181234 ,0,29,2,29,0,0,0,0,0,127,60,0,4,0,0,0,0,0,2,0,0,2,3,0,0,0,0,10,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,168,9,0,14,137,0,37,0,0,0,0,0,2,0,71,0,0,0,165,0,0,0,0,0,1,0,50,0,0,0,0,2,19,0,5,0,0,0,73,12,0,2,0,0,6,0,58,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,30,8,8,0,2,0,0,0,11,0,0,0,0,0,0,0,0,9,108,0,0,0,0,42,90,481,0,0,0,18,12,79,14,0,0,0,84,6,0,0,0,1,0,23,0,0,3,0,0,0,0,0,0,0,0,51,0,0,0,0,8,301,0,0,0,20,26,0,0,0,0,10,0,29,0,0,3,23,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,30,23,0,42,0,0,0,0,0,0,0,132,3,0,0,2,2,0,22,0,0,53,0,0,0,0,19,0,0,0,14,0,5,0,0,0,2,23,0,6,0,0,0,6,24,0,4,0,0,0,33,0,0,0,0,0,46,51,0,0,0,0,0,0,3,0,14,55,0,0,0,0,0,0,0,13,1,51,0,11,0,26,0,2,0,28
ERR11181235 ,0,6,0,17,0,0,0,0,0,101,50,0,0,0,0,0,0,0,13,0,0,4,3,0,0,0,0,2,0,26,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,123,1,0,5,59,0,48,0,0,0,0,0,0,0,54,0,0,0,126,0,0,0,1,0,1,0,16,0,0,0,0,2,17,0,4,0,0,2,20,4,0,0,0,0,2,0,19,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,2,5,0,6,0,0,0,1,0,2,0,0,0,0,0,0,7,12,0,1,0,0,29,11,83,0,0,0,2,13,12,6,0,0,0,54,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,2,169,0,0,0,2,7,0,0,0,0,5,0,4,0,0,6,9,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,12,0,5,0,1,0,0,0,0,0,101,0,0,1,0,0,0,1,0,0,69,0,0,0,0,2,0,0,0,1,0,1,0,0,0,3,3,0,9,0,0,0,8,8,0,1,0,0,0,6,0,0,0,4,0,24,36,0,0,0,0,0,0,2,0,1,29,0,0,0,0,1,0,1,1,0,4,0,9,0,28,0,0,0,30
ERR11181236 ,0,16,0,41,0,0,0,0,0,182,21,0,7,0,0,0,0,0,0,0,0,18,4,0,0,0,0,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,167,16,0,4,225,0,1,0,0,0,0,2,1,0,50,0,0,0,144,0,0,0,0,0,4,0,4,3,0,0,0,0,12,0,5,0,0,0,88,34,0,0,0,0,7,4,76,0,8,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,48,30,6,0,2,0,0,0,33,0,4,0,0,0,0,0,0,20,133,0,3,0,0,8,75,490,0,0,0,37,18,71,12,0,0,0,27,5,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,6,39,0,0,0,0,3,234,0,0,0,32,25,0,0,0,0,38,0,48,0,0,0,22,0,0,7,0,0,12,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,27,28,0,46,0,0,0,0,0,0,0,122,0,1,2,0,0,0,11,0,0,112,0,0,0,0,31,0,0,0,7,0,13,0,0,0,0,24,0,3,0,0,0,7,23,0,0,0,0,0,22,0,0,0,2,0,37,31,0,0,0,0,0,0,13,7,4,10,0,0,0,0,14,0,0,16,0,34,0,7,0,20,0,0,0,26
ERR11181237 ,0,8,1,16,0,0,0,0,0,283,18,0,0,0,0,0,0,0,23,0,0,4,10,0,0,0,0,8,0,30,0,0,0,0,0,4,0,0,0,0,0,0,3,0,2,0,0,0,0,367,9,0,6,164,0,38,0,0,0,0,0,2,0,144,0,0,0,206,0,0,0,4,0,0,0,54,1,0,0,0,2,87,0,21,0,0,0,26,8,0,0,0,0,6,0,26,0,0,0,0,0,2,0,0,5,0,7,0,0,0,0,0,0,0,0,0,30,10,6,1,7,0,0,0,14,0,4,0,0,0,0,0,0,8,34,0,2,0,0,38,66,151,0,0,0,13,4,38,4,0,0,0,193,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,35,0,0,2,0,9,371,0,0,0,13,10,0,0,0,0,7,0,21,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,22,11,0,21,0,0,0,0,0,0,0,234,2,0,2,1,0,0,15,0,0,65,0,0,0,0,14,0,0,0,2,0,1,0,0,0,0,16,0,2,0,0,0,46,16,0,0,0,0,0,13,0,0,0,6,0,33,150,2,0,0,0,0,0,3,0,1,16,0,0,0,0,0,0,0,11,1,12,0,52,0,75,0,0,0,54
ERR11181238 ,0,0,0,21,0,0,0,0,0,131,30,0,0,0,0,0,0,0,3,0,0,2,9,0,0,0,0,1,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,105,3,0,6,65,0,23,3,0,0,0,0,1,0,29,0,0,0,73,0,0,0,12,0,0,0,17,0,0,0,0,0,9,0,8,0,0,0,5,0,0,0,1,0,0,0,6,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,6,0,2,0,0,20,3,37,0,0,0,0,12,2,4,0,0,0,40,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,0,0,5,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,25,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,2,0,18,0,0,0,6,0,0,1,0,0,0,4,0,0,0,0,0,21,47,0,0,0,0,0,0,5,0,0,21,0,0,0,0,0,0,0,5,0,4,0,12,0,24,0,0,0,13
