Genome	ERR11181229.sorted Mean	ERR11181229.sorted Relative Abundance (%)	ERR11181229.sorted Covered Fraction	ERR11181230.sorted Mean	ERR11181230.sorted Relative Abundance (%)	ERR11181230.sorted Covered Fraction	ERR11181231.sorted Mean	ERR11181231.sorted Relative Abundance (%)	ERR11181231.sorted Covered Fraction	ERR11181232.sorted Mean	ERR11181232.sorted Relative Abundance (%)	ERR11181232.sorted Covered Fraction	ERR11181233.sorted Mean	ERR11181233.sorted Relative Abundance (%)	ERR11181233.sorted Covered Fraction	ERR11181234.sorted Mean	ERR11181234.sorted Relative Abundance (%)	ERR11181234.sorted Covered Fraction	ERR11181235.sorted Mean	ERR11181235.sorted Relative Abundance (%)	ERR11181235.sorted Covered Fraction	ERR11181236.sorted Mean	ERR11181236.sorted Relative Abundance (%)	ERR11181236.sorted Covered Fraction	ERR11181237.sorted Mean	ERR11181237.sorted Relative Abundance (%)	ERR11181237.sorted Covered Fraction	ERR11181238.sorted Mean	ERR11181238.sorted Relative Abundance (%)	ERR11181238.sorted Covered Fraction	ERR11181239.sorted Mean	ERR11181239.sorted Relative Abundance (%)	ERR11181239.sorted Covered Fraction	ERR11181240.sorted Mean	ERR11181240.sorted Relative Abundance (%)	ERR11181240.sorted Covered Fraction	ERR11181241.sorted Mean	ERR11181241.sorted Relative Abundance (%)	ERR11181241.sorted Covered Fraction	ERR11181242.sorted Mean	ERR11181242.sorted Relative Abundance (%)	ERR11181242.sorted Covered Fraction	ERR11181243.sorted Mean	ERR11181243.sorted Relative Abundance (%)	ERR11181243.sorted Covered Fraction	ERR11181244.sorted Mean	ERR11181244.sorted Relative Abundance (%)	ERR11181244.sorted Covered Fraction	ERR11181245.sorted Mean	ERR11181245.sorted Relative Abundance (%)	ERR11181245.sorted Covered Fraction	ERR11181246.sorted Mean	ERR11181246.sorted Relative Abundance (%)	ERR11181246.sorted Covered Fraction	ERR11181247.sorted Mean	ERR11181247.sorted Relative Abundance (%)	ERR11181247.sorted Covered Fraction	ERR11181248.sorted Mean	ERR11181248.sorted Relative Abundance (%)	ERR11181248.sorted Covered Fraction	ERR11181249.sorted Mean	ERR11181249.sorted Relative Abundance (%)	ERR11181249.sorted Covered Fraction	ERR11181250.sorted Mean	ERR11181250.sorted Relative Abundance (%)	ERR11181250.sorted Covered Fraction
unmapped	NA	63.10581	NA	NA	89.26414	NA	NA	59.412937	NA	NA	57.88572	NA	NA	55.219887	NA	NA	57.885952	NA	NA	69.665054	NA	NA	58.69433	NA	NA	56.72896	NA	NA	71.340195	NA	NA	87.88528	NA	NA	60.899986	NA	NA	64.67618	NA	NA	49.456615	NA	NA	56.17219	NA	NA	68.41638	NA	NA	56.796677	NA	NA	58.816574	NA	NA	53.929214	NA	NA	54.995113	NA	NA	51.69654	NA	NA	64.168015	NA
binning_output.001	62.25974	6.0469093	0.9707432	1.5389087	0.22501633	0.568802	57.888332	5.0392094	0.97209686	91.01933	6.9123855	0.9720887	89.0523	7.9083705	0.97444606	83.7853	5.6340146	0.9635807	26.127111	2.5992234	0.9477982	22.782372	1.2675877	0.880112	30.821316	1.9961101	0.9594266	18.061035	1.5808063	0.9276756	6.4772787	0.41233826	0.858663	21.12242	1.9604858	0.9130034	34.816895	3.1084003	0.9542304	215.07979	9.6763525	0.9821992	117.46871	5.329985	0.9620055	15.307253	1.8597031	0.936137	53.229706	3.7164378	0.932508	54.558144	4.4912214	0.9658807	82.126434	6.2941165	0.969198	104.06242	6.484365	0.9752009	95.01167	6.9399796	0.9610018	0	0	0
binning_output.002	46.82837	4.548155	0.94828546	1.1159459	0.1631715	0.4809759	44.897564	3.908356	0.95442605	69.902275	5.3086686	0.9595813	67.79299	6.020418	0.96050996	66.048	4.4412966	0.94697946	20.250711	2.014617	0.9199449	22.895561	1.2738854	0.8410835	25.484978	1.6505076	0.9330598	13.733222	1.202011	0.89121646	4.3015947	0.273836	0.78083146	17.547043	1.6286358	0.88555336	26.826769	2.3950539	0.9309162	164.11557	7.3834925	0.9644054	94.95593	4.3084974	0.95795083	11.770215	1.4299825	0.89919466	43.486866	3.0362036	0.9188922	42.13578	3.4686136	0.95542336	64.069405	4.910238	0.9596394	78.62702	4.8994274	0.9656612	72.46105	5.2928047	0.93562686	0	0	0
binning_output.003	34.745964	3.3746638	0.93050593	0.8888068	0.12995966	0.39455214	32.54824	2.8333411	0.9340097	50.88624	3.8645117	0.9479522	49.079082	4.3585124	0.9454981	45.426544	3.0546386	0.9210137	14.58503	1.4509737	0.8793224	14.687198	0.8171806	0.71939784	18.713846	1.2119825	0.89112884	10.374309	0.9080195	0.8326444	3.7330935	0.23764567	0.6809366	12.699495	1.1787087	0.798281	19.666613	1.7558057	0.90304327	114.04929	5.131031	0.9496869	63.6082	2.8861363	0.92558426	8.937895	1.0858794	0.85678506	31.413832	2.1932783	0.86888856	32.625313	2.6857126	0.93587816	46.121777	3.5347433	0.935861	57.614372	3.590082	0.9533269	51.23066	3.7420635	0.9256825	0	0	0
binning_output.004	11.92433	1.1581376	0.81410646	0.38496408	0.056288727	0.1676579	17.250074	1.5016278	0.8820364	16.777193	1.2741296	0.8658963	14.124941	1.2543782	0.86455333	32.27804	2.1704876	0.9062391	14.2544365	1.418085	0.86008173	79.08643	4.4002876	0.88233644	56.514423	3.6600971	0.8963563	10.475581	0.9168835	0.7469931	3.4361405	0.2187419	0.5808749	23.736952	2.2031546	0.86259055	17.888084	1.5970215	0.85765165	27.547533	1.2393523	0.8716568	57.875637	2.6260293	0.91016465	5.25392	0.63830733	0.73400134	37.592678	2.6246784	0.89130425	16.540321	1.3615978	0.8328881	24.582003	1.8839487	0.8929866	30.636908	1.909055	0.887787	4.9089026	0.35856315	0.7000585	0	0	0
binning_output.005	9.504728	0.9231364	0.8263416	0	0	0	11.485627	0.99982977	0.8627421	8.981584	0.6820987	0.825832	7.31942	0.6500077	0.8246896	28.047064	1.885982	0.896701	6.994443	0.6958335	0.8190839	90.42544	5.031178	0.9005482	37.512066	2.4294293	0.8744967	2.5583155	0.22391859	0.6245933	1.0360546	0.06595439	0.45118132	24.063032	2.23342	0.8883065	9.147245	0.8166524	0.8304465	14.821179	0.66679883	0.8245272	57.153004	2.5932405	0.925771	3.1992633	0.3886837	0.675078	28.270218	1.9737948	0.8899081	5.096885	0.4195751	0.77440655	15.7188425	1.2046819	0.87137747	19.56327	1.2190317	0.8886145	2.2307563	0.16294211	0.61628276	0	0	0
binning_output.006	21.96906	2.133721	0.8862356	0.71952146	0.10520707	0.3121228	21.244005	1.8493017	0.8804922	33.097256	2.513543	0.9118644	33.1362	2.9426904	0.89891106	27.028881	1.8175159	0.86184585	8.360706	0.83175457	0.7981924	3.2385437	0.18018924	0.5227	8.739369	0.565996	0.8271999	6.167908	0.539851	0.7645747	1.6081136	0.10237119	0.5065107	5.1287513	0.47602707	0.67038256	11.30126	1.0089597	0.83708334	74.20673	3.3385308	0.92838365	37.297813	1.6923381	0.86865616	5.4839935	0.6662593	0.77385545	15.693534	1.0957048	0.77547306	20.149845	1.6587335	0.8869399	29.4889	2.2600102	0.88951695	35.440575	2.2083826	0.91089064	38.00538	2.7760437	0.89542073	0	0	0
binning_output.007	11.990297	1.1645446	0.85225505	0.26593223	0.03888411	0.116825014	13.001135	1.1317556	0.8957051	10.9484	0.8314669	0.8368651	9.735328	0.86455464	0.8676229	31.69476	2.1312656	0.90242714	10.078166	1.0026139	0.87029845	85.39915	4.7515206	0.85288894	42.057453	2.7238064	0.91878265	5.4755683	0.47925338	0.70494497	2.0017648	0.1274307	0.5238183	22.339605	2.0734594	0.852513	11.82315	1.0555532	0.8802046	21.658031	0.974386	0.86534536	57.67438	2.6168976	0.9142497	3.5432465	0.43047476	0.72853845	27.034853	1.887543	0.86608243	8.07997	0.6651424	0.8005646	20.237648	1.5510001	0.897732	25.635532	1.5974079	0.9051912	9.395971	0.68631405	0.70630115	0	0	0
binning_output.008	6.676947	0.6484912	0.77504236	0.56944686	0.08326345	0.2627798	10.528528	0.91651386	0.8559213	13.755159	1.0446239	0.87630635	10.167775	0.9029585	0.85409236	12.716274	0.8550865	0.8746076	9.589183	0.95396805	0.8459892	14.182456	0.78909725	0.8256428	18.103697	1.1724668	0.8527476	7.5666485	0.6622768	0.7995573	5.9018636	0.3757078	0.61444813	14.742374	1.3683194	0.737857	12.472912	1.113563	0.87464625	14.981396	0.6740069	0.8824158	20.406046	0.9258969	0.8902789	4.2181544	0.5124704	0.66646254	28.675695	2.0021045	0.90383023	18.794973	1.5472004	0.8815206	15.925176	1.2204951	0.8976923	14.055939	0.8758573	0.86778617	3.4557164	0.25241742	0.66055864	0.31105825	0.027628006	0.13973923
binning_output.009	5.5214853	0.5362683	0.6481012	0.53108275	0.07765392	0.16025919	8.1275425	0.70750684	0.678968	6.930389	0.52632254	0.6670118	5.3342876	0.47371626	0.63748	16.543407	1.1124362	0.69081414	6.208503	0.61764526	0.66193867	38.286015	2.1301944	0.6312288	31.889866	2.0653136	0.712191	5.015098	0.4389504	0.55580443	2.4364126	0.15510002	0.350256	12.791314	1.1872308	0.6385603	8.630804	0.7705453	0.6932682	9.856305	0.44343114	0.6675336	29.580608	1.3421804	0.6988223	2.668494	0.32419968	0.5325626	15.317277	1.069435	0.6837395	5.9097486	0.48648998	0.63259846	12.18936	0.9341846	0.69698995	12.159626	0.7576938	0.7201054	16.276575	1.188897	0.5509188	27.737389	2.4636183	0.18962179
