Contig	ERR11181229.sorted Read Count	ERR11181230.sorted Read Count	ERR11181231.sorted Read Count	ERR11181232.sorted Read Count	ERR11181233.sorted Read Count	ERR11181234.sorted Read Count	ERR11181235.sorted Read Count	ERR11181236.sorted Read Count	ERR11181237.sorted Read Count	ERR11181238.sorted Read Count	ERR11181239.sorted Read Count	ERR11181240.sorted Read Count	ERR11181241.sorted Read Count	ERR11181242.sorted Read Count	ERR11181243.sorted Read Count	ERR11181244.sorted Read Count	ERR11181245.sorted Read Count	ERR11181246.sorted Read Count	ERR11181247.sorted Read Count	ERR11181248.sorted Read Count	ERR11181249.sorted Read Count	ERR11181250.sorted Read Count
AAG03814.1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAG07064.1	11	6	15	14	8	50	16	4	54	17	13	12	51	19	31	14	13	52	18	27	0	1
CAC14594.1	2	0	0	0	0	0	0	3	1	0	0	0	1	0	4	1	3	0	0	0	0	0
KIX81495.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAH35803.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAE06009.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAG03816.1	0	0	2	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
AAA74437.1	14	0	10	31	9	19	17	12	87	9	20	0	25	26	26	5	11	75	18	29	3	1
ABS43151.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAG05915.1	3	5	0	12	1	5	4	5	21	8	12	5	9	2	9	2	11	29	1	9	2	0
AAK76136.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0
APB03219.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAG05883.1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0
AAC76298.1	3	0	19	28	37	73	20	88	26	5	0	71	16	38	136	0	72	12	14	15	26	0
VWQ04088.1	0	0	2	7	6	12	4	34	8	0	0	22	4	19	15	0	20	0	1	2	1	0
AET10445.1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0
BAE06006.1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0
AAA22851.1	0	0	2	0	0	0	0	0	0	1	0	3	4	2	2	4	0	0	2	36	4	0
AAL19305.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0
AIA35096.1	1	0	2	1	3	6	2	7	6	0	0	0	0	8	6	0	32	2	0	0	0	0
AAX14803.1	0	0	0	0	0	0	0	4	0	0	0	0	2	2	4	0	0	0	0	2	0	0
AAC75137.1	8	0	8	26	6	58	19	76	26	6	0	29	7	12	103	6	64	14	6	4	7	0
AAL19304.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAA34300.1	1	0	0	0	0	0	0	8	0	0	0	0	2	0	4	0	0	4	0	0	0	0
AET10444.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0
AAC60780.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAK76137.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAB41957.1	7	0	8	2	0	1	1	0	2	7	1	2	3	1	0	1	1	5	10	5	1	0
CAH14033.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAG06465.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABW91179.1	0	0	0	0	0	0	0	0	5	0	0	6	0	6	0	0	4	0	1	1	0	0
AEV23046.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAC14595.1	5	0	3	5	8	10	10	13	7	3	2	12	36	10	20	5	67	10	4	6	0	0
BAD89844.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAJ09383.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAD51346.1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ADZ12699.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAL14440.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFK58562.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACD35503.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACF30254.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAF42062.1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
AAC74000.1	6	0	4	11	18	30	10	48	30	0	0	23	6	17	44	0	43	7	6	10	1	0
AAP43110.2	2	1	1	3	9	8	2	30	10	0	0	3	3	16	14	0	18	0	2	18	0	0
AAG03548.1	2	0	0	6	0	8	5	6	6	0	0	2	1	1	7	1	4	3	0	4	1	0
AAG05881.1	0	0	4	1	0	0	0	0	1	0	3	0	0	1	3	0	0	1	0	0	0	1
AAG05914.1	0	2	0	2	0	2	6	2	7	1	3	0	3	0	0	2	2	5	0	2	0	0
AYV52072.1	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
AAA26793.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAB58161.1	0	0	0	1	0	0	0	0	0	3	2	2	0	0	0	1	1	2	0	0	0	0
AAX14802.1	3	0	3	5	0	11	1	33	14	0	0	16	1	1	19	0	12	0	4	4	1	0
ADI87853.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAG07594.1	0	0	0	0	0	0	2	4	4	2	5	2	0	0	1	0	4	2	0	0	0	0
AAA22277.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAE00499.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
