SampleID,tet(47),ANT(9)-Ib,lin,DHA-31,OXA-1163,ANT(4')-Ia,KPC-172,BJP-1,mphK,FosM1,BMHC-1,OKP-B-14,tet(50),CMY-127,tet(X),OXA-965,FRI-11,aadA14,rphB,FosA4,KLUG-1,aadA9,PEDO-2,LRA-19,DHA-12,FosM2,FomB,Clostridioides difficile nimB,Streptomyces venezuelae rox,tet(X3),BLMT,BCL-1,CBP-1,AAC(3)-IId,HER-5,MUS-1,DYB-1,cmlv,RSA1-1,vatE,LRA-13,LRA-17,cmeA,TriC,tetA(58),mtrE,patB,cmeB,smeC,smeE,acrB,kdpE,Mef(En2),basS,amrA,mdtB,TaeA,novA,abeM,mdtM,MuxC,cmx,tetA(60),Acinetobacter baumannii AbaQ,LpeB,bcrA,LpeA,facT,MexF,adeG,mtrD,cmeC,ceoB,AcrF,macB,adeC,MexW,rosB,tetA(46),TriA,adeF,adeB,msbA,mdtC,lmrD,MexA,OpmB,cprS,mexN,OprM,adeJ,MexE,basR,MexH,MuxB,mexQ,Acinetobacter baumannii AmvA,Neisseria gonorrhoeae mtrC with mutation conferring resistance to azithromycin,amrB,mdsB,tetA(P),cmlA8,bcr-1,adeI,MexK,oleC,Staphylococcus aureus norA,Acinetobacter baumannii AbaF,mlaD,otr(C),rosA,mlaF,MexB,qacEdelta1,mef(E),OprN,lmrB,Enterococcus faecalis liaR mutant conferring daptomycin resistance,Staphylococcus aureus LmrS,mexY,tet(43),patA,hmrM,adeA,Rhodococcus fascians cmr,tet(H),mdtN,RanA,kdpD,pp-flo,MexD,mdtF,mdtP,emrY,AcrE,Enterococcus faecium liaR mutant conferring daptomycin resistance,fexA,PmpM,efmA,YojI,Klebsiella pneumoniae acrA,emrA,mdsA,MexI,tet(42),Enterococcus faecium liaS mutant conferring daptomycin resistance,LptD,MexJ,tet(Z),qacJ
10_S15 ,-2.44386465,-2.44386465,-2.44386465,-2.44386465,0.284019096,0.284019096,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.814593193,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.814593193,-2.44386465,1.436698606,-2.44386465,-2.44386465,-0.814593193,-2.44386465,-2.44386465,-2.44386465,-0.121446012,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,0.689484204,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.814593193,-2.44386465,-2.44386465,0.438169776,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,0.438169776,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,1.988767188,-2.44386465,-2.44386465,-0.409128085,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,1.4879919,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.814593193,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-1.507740373,-0.814593193,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.121446012,-2.44386465,-2.44386465,-2.44386465
12_S16 ,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.693147181,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,0.693147181,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465
13_S17 ,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,0.428775717,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,0.428775717,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.957518644,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.264371464,0.428775717,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.264371464,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.957518644,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,0.428775717,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.957518644,-2.44386465,-2.44386465,-2.44386465,0.834240825,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.957518644,-0.957518644,-2.44386465,-2.44386465,2.443678737,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.264371464,0.834240825,1.239705933,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.264371464,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.264371464,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.957518644,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465
14_S18 ,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465
1_S6 ,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,0.985814307,-0.400480054,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.400480054,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,1.304268038,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-1.093627235,0.004985054,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.400480054,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465
3_S8 ,-2.44386465,-2.44386465,-2.44386465,-2.44386465,1.436670285,0.520379553,-0.983697843,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.760554292,0.674530233,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.983697843,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.578232735,-2.369992204,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-1.271379916,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,1.063995,1.542030801,-0.067407111,1.521828094,-2.44386465,-2.44386465,1.063995,-2.44386465,-2.44386465,-2.44386465,-0.067407111,-0.172767627,0.027903068,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,1.707545239,-2.44386465,-2.44386465,-2.44386465,-2.44386465,1.343579862,-2.44386465,-2.44386465,0.808061626,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,0.194957153,0.888104334,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.760554292,-2.44386465,-2.44386465,-2.44386465,0.520379553,-1.676845024,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,2.374939924,-2.44386465,-2.44386465,1.126515357,-2.44386465,-2.44386465,-2.44386465,-1.271379916,-2.44386465,-2.44386465,-0.172767627,0.402596518,2.633954102,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-1.676845024,-0.578232735,-2.44386465,-2.44386465,-0.424082055,-0.760554292,1.343579862,0.338057997,-0.760554292,-0.983697843,-2.44386465,-2.44386465,-2.369992204,-2.44386465,0.625740069,-1.271379916,0.46322114,-2.44386465,-0.983697843,-2.44386465,-2.44386465,-1.676845024,-2.44386465,-2.44386465,-2.44386465
4_S9 ,-2.44386465,-2.44386465,-2.44386465,-2.44386465,1.811619817,0.921762343,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-1.520584693,-2.44386465,-0.827437512,0.7820004,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.421972404,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.421972404,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.016507296,1.312628651,-1.520584693,2.020374631,-2.44386465,-2.44386465,0.425325456,-2.44386465,-2.44386465,-2.44386465,-0.421972404,-0.604293961,-2.213731873,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,2.117001467,-2.44386465,-2.44386465,-2.44386465,-2.44386465,1.118472637,-2.44386465,-2.44386465,1.044364665,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.134290332,0.730707106,-2.44386465,-0.827437512,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.213731873,-1.115119585,-2.44386465,-2.44386465,0.1841634,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,2.297127633,-2.44386465,-2.44386465,0.964321957,-2.44386465,-2.44386465,-2.44386465,-1.520584693,-2.44386465,-2.44386465,-0.421972404,0.921762343,2.340145018,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-1.520584693,-0.421972404,-2.44386465,-0.827437512,-0.267821724,1.044364665,0.619481471,-0.604293961,-0.267821724,-2.44386465,-2.44386465,-2.44386465,-2.44386465,0.676639885,-0.267821724,-0.827437512,-2.44386465,-0.604293961,-2.44386465,-2.44386465,-1.520584693,-2.44386465,-2.44386465,-2.44386465
5_S10 ,-2.44386465,-2.44386465,-2.44386465,-2.44386465,2.183514641,-0.147241329,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,0.209433615,0.79722028,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,0.209433615,-2.44386465,-2.44386465,-2.44386465,-0.013709936,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.093151478,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.013709936,1.125724347,-2.44386465,0.679437244,-2.44386465,-2.44386465,0.104073099,-2.44386465,-2.44386465,-2.44386465,-0.483713566,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,1.274144352,-2.44386465,-2.44386465,-2.44386465,-2.44386465,0.740061866,-2.44386465,-2.44386465,1.239053032,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-1.400004298,0.471797879,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.093151478,-2.44386465,-0.147241329,-2.44386465,-2.44386465,-2.44386465,-0.994539189,-2.093151478,-2.44386465,-2.44386465,-2.44386465,-1.400004298,-2.44386465,2.460725414,-2.44386465,-2.44386465,0.997890975,-2.44386465,-2.44386465,-2.44386465,-0.147241329,-2.44386465,-2.44386465,-0.301392009,0.471797879,2.826829448,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,0.545905852,-1.400004298,-2.44386465,-2.44386465,0.740061866,-0.994539189,0.79722028,-0.147241329,-0.706857117,-0.706857117,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.483713566,-1.400004298,-0.706857117,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465
6_S11 ,-2.44386465,-2.44386465,-2.44386465,-2.44386465,0.860156073,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.392606895,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-1.085754076,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-1.085754076,-2.44386465,-0.392606895,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,1.312141197,-2.44386465,-2.44386465,-2.44386465,-2.44386465,1.111470501,-2.44386465,-2.44386465,0.300540285,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.392606895,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-1.085754076,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,1.479195282,-2.44386465,-2.44386465,-1.085754076,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,0.012858213,1.622296125,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.392606895,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-1.085754076,-2.44386465,-2.44386465,-2.44386465,0.300540285,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465
7_S12 ,-2.44386465,-2.44386465,-2.44386465,-2.44386465,1.560425206,0.962588205,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.519016335,0.068770329,-2.44386465,-2.44386465,-1.435307067,-2.44386465,-2.44386465,-2.44386465,-0.742159887,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,1.203750262,-2.44386465,-2.44386465,-2.44386465,0.269441025,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-1.029841959,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,0.068770329,1.203750262,-2.128454248,1.090421577,-2.44386465,-2.44386465,1.337281655,-2.44386465,-2.44386465,-2.44386465,0.579595953,-1.029841959,-2.128454248,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,1.203750262,-2.44386465,-2.44386465,-2.44386465,-0.742159887,0.815984731,-2.44386465,-2.44386465,0.76191751,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.742159887,-0.049012706,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,0.644134474,-1.435307067,-2.44386465,-2.44386465,-0.742159887,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.128454248,3.047695485,-2.44386465,-2.44386465,1.337281655,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,0.174130845,0.510603082,2.927791557,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,0.91606819,-2.128454248,-2.44386465,-2.44386465,1.397906277,-0.336694779,-0.519016335,-2.44386465,-0.519016335,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-2.44386465,-0.336694779,-1.435307067,-0.336694779,-2.44386465,-0.182544099,-2.44386465,-2.44386465,-1.435307067,-2.44386465,-2.44386465,-2.44386465
