Genome	10_S15.sorted Mean	10_S15.sorted Relative Abundance (%)	10_S15.sorted Covered Fraction	12_S16.sorted Mean	12_S16.sorted Relative Abundance (%)	12_S16.sorted Covered Fraction	13_S17.sorted Mean	13_S17.sorted Relative Abundance (%)	13_S17.sorted Covered Fraction	14_S18.sorted Mean	14_S18.sorted Relative Abundance (%)	14_S18.sorted Covered Fraction	1_S6.sorted Mean	1_S6.sorted Relative Abundance (%)	1_S6.sorted Covered Fraction	2_S7.sorted Mean	2_S7.sorted Relative Abundance (%)	2_S7.sorted Covered Fraction	3_S8.sorted Mean	3_S8.sorted Relative Abundance (%)	3_S8.sorted Covered Fraction	4_S9.sorted Mean	4_S9.sorted Relative Abundance (%)	4_S9.sorted Covered Fraction	5_S10.sorted Mean	5_S10.sorted Relative Abundance (%)	5_S10.sorted Covered Fraction	6_S11.sorted Mean	6_S11.sorted Relative Abundance (%)	6_S11.sorted Covered Fraction	7_S12.sorted Mean	7_S12.sorted Relative Abundance (%)	7_S12.sorted Covered Fraction	8_S13.sorted Mean	8_S13.sorted Relative Abundance (%)	8_S13.sorted Covered Fraction	9_S14.sorted Mean	9_S14.sorted Relative Abundance (%)	9_S14.sorted Covered Fraction
unmapped	NA	63.710636	NA	NA	74.49377	NA	NA	52.819504	NA	NA	50.03852	NA	NA	53.170574	NA	NA	62.2324	NA	NA	63.453396	NA	NA	64.45136	NA	NA	66.11676	NA	NA	75.44407	NA	NA	64.8095	NA	NA	76.20026	NA	NA	64.47277	NA
binning_output.001	4.8847084	0.36159253	0.38496757	0	0	0	117.89715	8.530977	0.27141222	5.559955	0.46121696	0.14018643	92.08405	4.798676	0.20137866	0	0	0	33.846626	2.4259562	0.49141553	47.34442	2.1347775	0.4248194	66.73905	4.9913898	0.46652457	2.8046095	0.23976652	0.39086688	39.690758	3.0293667	0.4846018	7.415664	0.6882633	0.48874876	76.74008	6.123969	0.49799687
binning_output.002	15.724712	1.1640283	0.91406125	0.26261184	0.031317893	0.16627114	6.0148163	0.435229	0.120802686	0.41442382	0.03437785	0.17593792	0	0	0	0	0	0	86.10623	6.171662	0.93678916	74.68078	3.367384	0.9562545	26.555544	1.9860797	0.9248047	4.748419	0.4059431	0.8553182	54.94693	4.193783	0.93865657	18.951052	1.7588866	0.91977715	30.911922	2.466816	0.928122
binning_output.003	4.4601107	0.3301615	0.36029285	4.3928766	0.52387446	0.19322725	23.506243	1.7008996	0.3565302	1.6395084	0.13600273	0.11738591	125.72587	6.5518155	0.6572123	0	0	0	23.542109	1.68738	0.40492925	30.910318	1.3937578	0.4688576	16.32933	1.2212647	0.3963703	2.667153	0.22801533	0.34304687	13.822438	1.0549871	0.396663	4.4993515	0.4175942	0.38665268	11.903016	0.94987786	0.38524094
binning_output.004	1.8194417	0.13468492	0.38948256	0	0	0	0	0	0	0	0	0	34.341946	1.7896245	0.16693053	0	0	0	21.292542	1.5261424	0.66351783	17.420137	0.7854805	0.3307084	49.900253	3.732022	0.6905746	1.3021759	0.11132324	0.39602223	24.95863	1.9049484	0.6811839	3.8232727	0.3548459	0.5901518	59.446774	4.7439384	0.69109356
binning_output.005	2.01998	0.14952984	0.18980613	5.541916	0.6609037	0.10739917	0	0	0	54.19013	4.495253	0.48872057	32.503357	1.6938121	0.27932474	5.3163404	0.41778168	0.2849663	7.5439734	0.5407141	0.17368539	25.864754	1.1662513	0.49785274	3.988303	0.29828373	0.17081031	1.4611292	0.12491217	0.21886836	6.37261	0.48638463	0.19827929	2.5477793	0.2364647	0.21631193	3.3770716	0.2694952	0.1682901
binning_output.006	8.552528	0.6331044	0.84423643	0.24920133	0.029718617	0.11711414	0	0	0	0.77664363	0.0644252	0.14653173	0	0	0	0	0	0	43.723824	3.1339042	0.90150154	34.536655	1.5572706	0.89437735	14.268774	1.0671566	0.8669001	3.0731573	0.26272473	0.7011293	29.877085	2.2803457	0.90639603	10.325511	0.95833224	0.8677668	16.86885	1.3461586	0.8731188
binning_output.007	2.9734473	0.22011064	0.36150038	11.186335	1.3340315	0.16394106	5.7370996	0.41513357	0.2223404	0	0	0	48.399513	2.522191	0.48678052	0	0	0	15.886268	1.1386478	0.44742474	6.290308	0.28363234	0.42454562	8.246998	0.61679	0.4355474	1.7775042	0.15195914	0.30585986	7.7132096	0.5887048	0.43534437	2.5218985	0.23406266	0.38868824	6.350625	0.506789	0.4149465
binning_output.008	2.5904093	0.1917561	0.15433197	0	0	0	0.8326075	0.060247045	0.19843343	0	0	0	70.36406	3.6668057	0.726931	12.067301	0.9483022	0.1966128	2.1371303	0.15317875	0.12916714	3.37039	0.15197214	0.21754493	2.8191388	0.21084237	0.14880836	1.5864527	0.13562611	0.14397392	3.7668571	0.2875025	0.14840207	1.7949842	0.16659623	0.17594811	1.7950958	0.14325124	0.13869202
binning_output.009	1.3819671	0.10230067	0.4021041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.553743	1.258164	0.85835	1.2624984	0.056926522	0.21498296	46.02968	3.442543	0.8867582	1.1572564	0.09893404	0.42547265	20.543524	1.5679688	0.8736984	2.8436387	0.26392403	0.6818999	50.587204	4.036932	0.8852874
