Genome,ERR11181229.sorted Relative Abundance (%),ERR11181230.sorted Relative Abundance (%),ERR11181231.sorted Relative Abundance (%),ERR11181232.sorted Relative Abundance (%),ERR11181233.sorted Relative Abundance (%),ERR11181234.sorted Relative Abundance (%),ERR11181235.sorted Relative Abundance (%),ERR11181236.sorted Relative Abundance (%),ERR11181237.sorted Relative Abundance (%),ERR11181238.sorted Relative Abundance (%),ERR11181239.sorted Relative Abundance (%),ERR11181240.sorted Relative Abundance (%),ERR11181241.sorted Relative Abundance (%),ERR11181242.sorted Relative Abundance (%),ERR11181243.sorted Relative Abundance (%),ERR11181244.sorted Relative Abundance (%),ERR11181245.sorted Relative Abundance (%),ERR11181246.sorted Relative Abundance (%),ERR11181247.sorted Relative Abundance (%),ERR11181248.sorted Relative Abundance (%),ERR11181249.sorted Relative Abundance (%),ERR11181250.sorted Relative Abundance (%),TotalAbundance
binning_output.001,6.0469093,0.22501633,5.0392094,6.9123855,7.9083705,5.6340146,2.5992234,1.2675877,1.9961101,1.5808063,0.41233826,1.9604858,3.1084003,9.6763525,5.329985,1.8597031,3.7164378,4.4912214,6.2941165,6.484365,6.9399796,0.0,89.48301839
binning_output.002,4.548155,0.1631715,3.908356,5.3086686,6.020418,4.4412966,2.014617,1.2738854,1.6505076,1.202011,0.273836,1.6286358,2.3950539,7.3834925,4.3084974,1.4299825,3.0362036,3.4686136,4.910238,4.8994274,5.2928047,0.0,69.55787210000001
binning_output.003,3.3746638,0.12995966,2.8333411,3.8645117,4.3585124,3.0546386,1.4509737,0.8171806,1.2119825,0.9080195,0.23764567,1.1787087,1.7558057,5.131031,2.8861363,1.0858794,2.1932783,2.6857126,3.5347433,3.590082,3.7420635,0.0,50.02487003000002
binning_output.004,1.1581376,0.056288727,1.5016278,1.2741296,1.2543782,2.1704876,1.418085,4.4002876,3.6600971,0.9168835,0.2187419,2.2031546,1.5970215,1.2393523,2.6260293,0.63830733,2.6246784,1.3615978,1.8839487,1.909055,0.35856315,0.0,34.470852707000006
binning_output.006,2.133721,0.10520707,1.8493017,2.513543,2.9426904,1.8175159,0.83175457,0.18018924,0.565996,0.539851,0.10237119,0.47602707,1.0089597,3.3385308,1.6923381,0.6662593,1.0957048,1.6587335,2.2600102,2.2083826,2.7760437,0.0,30.763130840000002
binning_output.007,1.1645446,0.03888411,1.1317556,0.8314669,0.86455464,2.1312656,1.0026139,4.7515206,2.7238064,0.47925338,0.1274307,2.0734594,1.0555532,0.974386,2.6168976,0.43047476,1.887543,0.6651424,1.5510001,1.5974079,0.68631405,0.0,28.78527484
binning_output.005,0.9231364,0.0,0.99982977,0.6820987,0.6500077,1.885982,0.6958335,5.031178,2.4294293,0.22391859,0.06595439,2.23342,0.8166524,0.66679883,2.5932405,0.3886837,1.9737948,0.4195751,1.2046819,1.2190317,0.16294211,0.0,25.26618939
binning_output.010,0.74838483,0.0,0.7279473,0.5091997,0.52906984,1.5929056,0.563164,4.067623,2.335858,0.15697043,0.05152097,1.6996936,0.65166616,0.42940006,2.0450768,0.29329905,1.4228034,0.27617392,0.98164815,0.9625277,0.16758119,0.0,20.212513700000002
binning_output.009,0.5362683,0.07765392,0.70750684,0.52632254,0.47371626,1.1124362,0.61764526,2.1301944,2.0653136,0.4389504,0.15510002,1.1872308,0.7705453,0.44343114,1.3421804,0.32419968,1.069435,0.48648998,0.9341846,0.7576938,1.188897,2.4636183,19.80901374
binning_output.008,0.6484912,0.08326345,0.91651386,1.0446239,0.9029585,0.8550865,0.95396805,0.78909725,1.1724668,0.6622768,0.3757078,1.3683194,1.113563,0.6740069,0.9258969,0.5124704,2.0021045,1.5472004,1.2204951,0.8758573,0.25241742,0.027628006,18.924413436000005
binning_output.011,0.6049858,0.037722874,0.7485553,0.86490273,0.97712916,0.4629694,0.24502057,0.5941058,1.8866305,0.23754023,0.040861167,0.3729453,0.3145423,0.9323808,0.52244765,0.25202554,0.44865805,0.5529805,0.87327445,0.61737555,1.0819899,1.817463,14.486506571000001
