Bin_ID	Adherence	Antimicrobial	Biofilm	EDS	Exoenzyme	Exotoxin	Immune Mod.	Invasion	Motility	Nutri/Metab	Others	PTM	Regulation	Stress Survival	Total_VFs	Taxonomy	Full_Taxonomy	MAG_ID	Taxonomy_Label
binning_output.189	38	4	17	34	0	6	20	1	31	61	1	0	22	3	235	Unclassified Bacteria (D)	Unclassified Bacteria	S1-189	Unclassified Bacteria (D) S1-189
binning_output.132	35	4	18	22	0	2	38	0	58	35	0	0	9	2	221	Pseudomonas_E(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__	S1-132	Pseudomonas_E(G) S1-132
binning_output.171	32	6	17	38	0	2	25	1	20	32	2	0	18	5	193	Pseudomonadaceae(F)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__;s__	S1-171	Pseudomonadaceae(F) S1-171
binning_output.188	23	8	12	20	3	1	41	1	25	49	2	0	5	17	190	Pseudomonadota(P)	d__Bacteria;p__Pseudomonadota;c__;o__;f__;g__;s__	S1-188	Pseudomonadota(P) S1-188
binning_output.102	38	3	3	25	0	6	9	1	47	28	0	1	3	2	164	JAGOXX01(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__JAGOXX01;s__	S1-102	JAGOXX01(G) S1-102
binning_output.103	21	4	1	36	1	6	17	0	29	34	2	0	2	3	153	Unclassified Bacteria (D)	Unclassified Bacteria	S1-103	Unclassified Bacteria (D) S1-103
binning_output.255	13	6	2	14	0	1	15	2	27	48	2	0	4	1	134	Enterobacteriaceae(F)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__;s__	S1-255	Enterobacteriaceae(F) S1-255
binning_output.186	17	7	15	10	1	0	23	1	31	27	0	0	1	1	133	Burkholderiaceae(F)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__	S1-186	Burkholderiaceae(F) S1-186
binning_output.137	2	1	4	13	1	2	67	1	12	12	4	3	8	1	130	Campylobacteria(C)	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__;f__;g__;s__	S1-137	Campylobacteria(C) S1-137
binning_output.160	37	5	7	16	0	1	11	0	22	8	0	0	7	1	114	Pseudomonas_E(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__	S1-160	Pseudomonas_E(G) S1-160
binning_output.119	13	6	3	14	0	2	34	1	9	19	1	0	5	4	107	Unclassified Bacteria (D)	Unclassified Bacteria	S1-119	Unclassified Bacteria (D) S1-119
binning_output.156	11	3	3	8	1	4	42	0	16	11	2	0	1	0	102	Campylobacteria(C)	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__;f__;g__;s__	S1-156	Campylobacteria(C) S1-156
binning_output.169	15	4	11	10	0	2	20	0	13	17	0	0	9	3	101	Rhodocyclaceae(F)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	S1-169	Rhodocyclaceae(F) S1-169
binning_output.139	25	1	2	8	0	1	8	1	48	5	1	0	0	1	100	JAGOXX01(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__JAGOXX01;s__	S1-139	JAGOXX01(G) S1-139
binning_output.125	9	2	0	5	0	4	50	0	7	11	0	1	9	4	98	Unclassified Bacteria (D)	Unclassified Bacteria	S1-125	Unclassified Bacteria (D) S1-125
binning_output.144	7	7	8	9	0	1	19	0	34	6	1	0	2	1	94	Pararheinheimera(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pararheinheimera;s__	S1-144	Pararheinheimera(G) S1-144
binning_output.213	25	6	5	8	1	0	21	1	9	12	0	0	5	0	93	Citrobacter(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__	S1-213	Citrobacter(G) S1-213
binning_output.197	15	13	1	6	0	0	19	0	13	20	3	0	2	1	92	Thiomicrospiraceae(F)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thiomicrospiraceae;g__;s__	S1-197	Thiomicrospiraceae(F) S1-197
binning_output.134	4	1	1	6	1	1	51	1	10	10	0	3	0	6	89	Aliarcobacter(G)	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	S1-134	Aliarcobacter(G) S1-134
binning_output.159	14	1	1	18	1	1	42	1	4	3	1	0	1	1	88	Bacteria(D)	d__Bacteria;p__;c__;o__;f__;g__;s__	S1-159	Bacteria(D) S1-159
binning_output.157	13	2	11	7	2	1	11	0	8	24	0	0	4	1	83	Pseudomonadaceae(F)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__;s__	S1-157	Pseudomonadaceae(F) S1-157
