Bin_ID	Query_ID	Hit_ID	Hit_Description	Subject_Length	Score	Bits	E-value	Identities	Positives	Gaps	Query_Start_Position	Query_End_Position	Subject_Start_Position	Subject_End_Position
binning_output.020	k141_1574723_1 # 2 # 1015 # 1 # ID=10_1	gnl|BL_ORD_ID|18958	VFG037134(gb|WP_013449263) (recN) DNA repair protein RecN [RecN (VF0457) - Stress survival (VFC0282)] [Neisseria lactamica 020-06]	555	373.0	148.288	4.14703e-40	29%	52%	2%	1	338	10	349
binning_output.020	k141_187889_1 # 1 # 351 # -1 # ID=77_1	gnl|BL_ORD_ID|8793	VFG046474(gb|WP_014714676) (tufA) elongation factor Tu [EF-Tu (VF0460) - Adherence (VFC0001)] [Francisella noatunensis subsp. orientalis str. Toba 04]	394	543.0	213.772	8.59527e-70	85%	93%	0%	1	117	1	117
binning_output.020	k141_1070865_1 # 2 # 1891 # 1 # ID=133_1	gnl|BL_ORD_ID|18884	VFG037008(gb|WP_013448560) (mtrD) multiple transferable resistance system protein MtrD [MtrCDE (VF0451) - Antimicrobial activity/Competitive advantage (VFC0325)] [Neisseria lactamica 020-06]	1067	251.0	101.293	5.13153e-22	23%	44%	13%	1	630	317	953
binning_output.020	k141_4050882_1 # 1 # 66 # -1 # ID=174_1	gnl|BL_ORD_ID|17053	VFG030114(gb|WP_011729244) (kefB) cation:proton antiporter [Potassium/proton antiporter (VF0838) - Immune modulation (VFC0258)] [Mycobacterium smegmatis str. MC2 155]	381	46.0	22.3274	4.99875	41%	64%	0%	1	22	97	118
binning_output.020	k141_3545798_1 # 1 # 156 # -1 # ID=236_1	gnl|BL_ORD_ID|1293	VFG038742(gb|WP_011705591) (flaH) flagellar hook-associated protein 2 [Polar flagella (VF0473) - Motility (VFC0204)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]	469	90.0	39.2762	2.23414e-05	42%	73%	2%	1	52	1	51
binning_output.020	k141_4253322_4 # 3221 # 3508 # 1 # ID=262_4	gnl|BL_ORD_ID|8792	VFG046467(gb|WP_014548920) (tufA) elongation factor Tu [EF-Tu (VF0460) - Adherence (VFC0001)] [Francisella cf. tularensis subsp. novicida 3523]	394	436.0	172.555	4.70754e-54	84%	91%	0%	1	96	1	96
binning_output.089	k141_3327378_1 # 1 # 1029 # 1 # ID=58_1	gnl|BL_ORD_ID|8131	VFG040955(gb|WP_000498824) (gspD) type II secretion system secretin GspD [Gsp (VF1177) - Effector delivery system (VFC0086)] [Escherichia coli E24377A]	686	907.0	353.984	2.14212e-117	55%	71%	6%	1	343	259	605
binning_output.089	k141_5426846_1 # 1 # 1518 # -1 # ID=71_1	gnl|BL_ORD_ID|8416	VFG043083(gb|WP_000096470) (flgK) flagellar hook-associated protein FlgK [Peritrichous flagella (VF1154) - Motility (VFC0204)] [Escherichia coli O157:H7 str. EDL933]	547	1770.0	686.411	0.0	68%	83%	4%	1	506	1	489
binning_output.089	k141_707360_3 # 1592 # 1987 # 1 # ID=72_3	gnl|BL_ORD_ID|3202	VFG045340(gb|WP_002964382) (ricA) type IV secretion system effector RicA, Rab2 interacting conserved protein A [T4SS secreted effectors (VF0695) - Effector delivery system (VFC0086)] [Brucella melitensis bv. 1 str. 16M]	175	234.0	94.7449	1.41966e-25	39%	55%	1%	1	132	1	134
binning_output.089	k141_4028272_5 # 4585 # 4689 # 1 # ID=75_5	gnl|BL_ORD_ID|11543	VFG001867(gb|WP_016357051) (sodB) superoxide dismutase [SodB (VF0169) - Stress survival (VFC0282)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]	192	121.0	51.2174	3.22991e-10	60%	74%	0%	1	35	1	35
