Bin_ID	Adherence	Antimicrobial Activity/Competitive Advantage	Biofilm	Effector Delivery System	Exoenzyme	Exotoxin	Immune Modulation	Invasion	Motility	Nutritional/Metabolic Factor	Others	Post-Translational Modification	Regulation	Stress Survival	Total_VFs
binning_output.001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
binning_output.002	1	0	0	0	0	2	0	0	3	1	0	0	0	0	7
binning_output.003	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
binning_output.004	2	0	0	1	0	0	1	0	0	0	0	0	1	0	5
binning_output.005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
binning_output.006	1	0	0	0	0	0	6	0	3	0	0	0	1	1	12
binning_output.009	9	2	0	6	1	0	3	0	0	2	0	0	0	0	23
binning_output.010	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2
binning_output.011	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2
binning_output.012	0	0	0	1	0	0	0	0	0	2	0	0	0	0	3
binning_output.013	0	0	0	2	0	0	4	0	2	0	0	0	0	1	9
binning_output.014	1	0	0	1	0	0	2	0	0	0	0	0	0	0	4
binning_output.015	2	0	0	1	0	0	1	0	0	3	0	0	0	1	8
binning_output.016	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2
binning_output.017	1	0	0	0	0	0	0	0	1	0	0	0	1	0	3
binning_output.018	1	0	0	0	1	0	2	0	0	2	1	0	1	0	8
binning_output.019	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
binning_output.020	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
binning_output.021	2	0	0	1	0	1	3	0	4	2	0	0	1	0	14
binning_output.022	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
binning_output.023	2	0	0	1	0	0	3	0	3	1	0	1	0	1	12
binning_output.024	8	2	1	7	2	2	5	0	0	5	0	0	1	2	35
binning_output.025	2	0	0	2	2	0	10	0	0	2	0	0	0	0	18
binning_output.026	2	0	1	5	0	1	2	0	0	3	0	0	0	0	14
binning_output.028	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2
binning_output.030	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
binning_output.031	0	0	0	2	0	1	0	0	0	0	0	0	0	0	3
binning_output.032	2	0	0	0	1	0	3	0	3	3	1	0	1	0	14
binning_output.033	3	0	0	2	0	1	1	0	0	2	0	0	0	1	10
binning_output.034	1	0	0	2	1	0	1	0	0	1	0	0	0	0	6
binning_output.035	2	0	1	0	0	0	0	0	0	2	0	0	0	0	5
binning_output.036	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2
binning_output.037	2	0	0	1	0	0	2	0	2	0	0	0	0	1	8
binning_output.039	0	1	0	0	0	0	8	0	2	3	0	0	1	0	15
binning_output.040	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2
binning_output.041	2	0	0	0	0	0	0	0	2	1	0	0	0	0	5
binning_output.042	4	2	0	6	0	0	8	0	1	2	0	0	0	0	23
binning_output.043	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
binning_output.044	6	0	1	4	0	0	10	0	0	9	0	0	1	3	34
binning_output.045	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4
binning_output.046	3	0	0	0	0	1	4	0	0	5	0	0	0	1	14
binning_output.047	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
binning_output.049	3	0	0	2	0	1	2	0	3	2	0	0	0	0	13
binning_output.050	5	0	0	1	0	0	4	0	4	0	0	0	1	0	15
binning_output.052	11	3	2	9	0	1	13	0	15	15	0	0	2	0	71
binning_output.053	2	0	0	0	0	1	1	0	0	0	0	0	0	0	4
binning_output.054	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
binning_output.055	3	0	0	0	0	0	3	0	1	1	0	0	0	0	8
binning_output.057	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
binning_output.058	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2
binning_output.060	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2
binning_output.061	3	0	0	0	0	0	0	0	0	2	0	0	0	0	5
binning_output.062	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
binning_output.063	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
binning_output.064	2	0	0	2	0	1	1	0	0	0	0	0	0	0	6
binning_output.065	3	1	0	1	0	0	3	1	0	6	0	0	1	1	17
binning_output.066	1	0	0	0	0	0	3	0	0	1	1	0	1	0	7
binning_output.067	1	0	1	1	0	0	11	0	0	3	0	0	1	1	19
binning_output.068	2	0	0	1	0	1	2	0	3	4	0	0	0	0	13
binning_output.069	0	0	0	1	0	0	0	0	0	2	0	0	0	0	3
binning_output.070	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
binning_output.071	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2
binning_output.072	4	0	0	5	0	0	6	0	1	5	0	0	0	0	21
binning_output.073	8	1	0	0	0	0	6	0	3	3	0	0	0	1	22
binning_output.074	1	0	0	0	0	0	3	0	3	4	0	0	2	0	13
binning_output.075	1	3	0	2	0	1	3	0	5	2	0	0	0	0	17
binning_output.077	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2
binning_output.078	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
binning_output.079	4	0	0	0	0	0	1	0	0	0	0	0	0	0	5
binning_output.080	1	0	0	1	0	0	1	0	1	2	0	0	0	0	6
binning_output.081	3	0	0	0	0	0	2	0	0	0	0	0	0	2	7
binning_output.082	1	1	0	0	0	1	3	0	1	0	0	0	0	2	9
binning_output.083	1	0	0	2	0	0	0	0	1	1	0	0	0	0	5
binning_output.084	2	0	0	0	0	1	13	0	0	4	0	0	0	2	22
binning_output.085	1	0	0	0	0	0	0	0	2	2	0	0	0	1	6
binning_output.086	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
binning_output.087	4	5	1	9	0	1	6	0	4	13	0	0	0	1	44
binning_output.088	3	0	0	1	0	0	0	0	0	0	0	0	0	0	4
binning_output.089	4	0	0	0	0	0	1	0	2	0	0	0	0	0	7
