CARD_Protein_Accession	CARD_Protein_Description	NCBI_Nucleotide_ID	CDS_Name	10_S15.sorted Read Count	12_S16.sorted Read Count	13_S17.sorted Read Count	14_S18.sorted Read Count	1_S6.sorted Read Count	2_S7.sorted Read Count	3_S8.sorted Read Count	4_S9.sorted Read Count	5_S10.sorted Read Count	6_S11.sorted Read Count	7_S12.sorted Read Count	8_S13.sorted Read Count	9_S14.sorted Read Count
AKQ05891.1	gb|AKQ05891.1|tet(47) [uncultured bacterium]	KR857681.1	tet(47)	0	0	0	0	0	0	0	0	0	0	0	0	0
AAA16527.1	gb|AAA16527.1|ANT(9)-Ib [Enterococcus faecalis]	M69221.1	aad9	0	0	0	0	0	0	0	0	0	0	0	0	0
AEO25219.1	gb|AEO25219.1|lin [Listeria monocytogenes FSL R2-561]	CP002003.1		0	0	0	0	0	0	0	0	0	0	0	0	0
WLO97155.1	gb|WLO97155.1|DHA-31 [Morganella morganii]	OR398192.1	blaDHA	0	0	0	0	0	0	0	0	0	0	0	0	0
BDT38936.1	gb|BDT38936.1|OXA-1163 [Aeromonas caviae]	LC733701.1	blaOXA	6	0	0	0	0	0	45	56	72	7	40	9	25
AAA92254.1	gb|AAA92254.1|ANT(4')-Ia [Plasmid pTB913]	K02551.1	kan	6	0	0	0	0	0	18	23	7	0	22	3	0
WGW19926.1	gb|WGW19926.1|KPC-172 [Klebsiella pneumoniae]	OQ856771.1	blaKPC	0	0	0	0	0	0	4	0	0	0	0	0	0
AND91341.1	gb|AND91341.1|BJP-1 [Bradyrhizobium diazoefficiens USDA 110]	CP011360.1		0	0	0	0	0	0	0	0	0	0	0	0	0
AJE92936.1	gb|AJE92936.1|mphK [Bacillus subtilis subsp. subtilis]	CP010314.1		0	0	0	0	0	0	0	0	0	0	0	0	0
DAC85639.1	gb|DAC85639.1|FosM1 [Bacillus massiliigabonensis]	BK012111.1	fosM	0	0	0	0	0	0	0	0	0	0	0	0	0
UZX27393.1	gb|UZX27393.1|BMHC-1 [Riemerella anatipestifer]	CP110126.1	bla	0	0	0	0	0	0	0	0	0	0	0	0	0
ABL75154.1	gb|ABL75154.1|OKP-B-14 [Klebsiella pneumoniae]	DQ995288.1		0	0	0	0	0	0	0	2	0	0	0	0	0
AKQ05894.1	gb|AKQ05894.1|tet(50) [uncultured bacterium]	KR857684.1	tet(50)	0	0	0	0	0	0	0	0	0	0	0	0	0
AKO62864.1	gb|AKO62864.1|CMY-127 [Citrobacter freundii]	KM985465.1	blaCMY-127	0	0	0	0	0	0	5	4	10	0	5	12	8
AAA27471.1	gb|AAA27471.1|tet(X) [Bacteroides fragilis]	M37699.1	tetX	0	0	4	0	0	0	21	20	18	2	9	4	42
QVO43839.1	gb|QVO43839.1|OXA-965 [Shewanella algae]	MZ092832.1	blaOXA	0	0	0	0	0	0	0	0	0	0	0	0	0
UAN43462.1	gb|UAN43462.1|FRI-11 [Enterobacter sp. JBIWA008]	CP074152.1	blaFRI	0	0	0	0	0	0	0	0	0	0	0	0	0
CAI57696.1	gb|CAI57696.1|aadA14 [Pasteurella multocida]	AJ884726.1	aadA14	0	0	0	0	0	0	0	0	0	0	2	0	4
APB03222.1	gb|APB03222.1|rphB [Paenibacillus sp. LC231]	KX531052.1	rphB	0	0	0	0	0	0	0	0	0	0	0	0	0
BAP18892.1	gb|BAP18892.1|FosA4 [Escherichia coli]	AB908992.1	FosA4	0	0	0	0	0	0	0	0	0	0	0	0	1
AAN73274.1	gb|AAN73274.1|KLUG-1 [Kluyvera georgiana]	AF501233.1	blaKLUG-1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABG49324.1	gb|ABG49324.1|aadA9 [Corynebacterium sp. L2-79-05]	DQ390458.1		0	0	0	0	0	0	4	0	0	0	4	0	0
AJP77071.1	gb|AJP77071.1|PEDO-2 [Pedobacter sp. ALS-14]	KP109678.1	blaPEDO-2	0	0	0	0	0	0	0	0	0	0	0	0	0
ACH59005.1	gb|ACH59005.1|LRA-19 [uncultured bacterium BLR19]	EU408359.1	blaLRA-19	0	0	0	0	0	0	0	0	0	0	0	0	0
CDL68900.1	gb|CDL68900.1|DHA-12 [Proteus mirabilis]	HG798963.1	blaDHA-12	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC85640.1	gb|DAC85640.1|FosM2 [Gracilibacillus timonensis]	BK012112.1	fosM	0	0	0	0	0	0	0	0	0	0	0	0	0
BAA32494.1	gb|BAA32494.1|FomB [Streptomyces wedmorensis]	AB016934.1	fomB	0	0	0	0	0	0	0	0	0	0	0	0	0
CBE03766.1	gb|CBE03766.1|Clostridioides difficile nimB [Clostridioides difficile R20291]	FN545816.1		0	0	0	0	0	0	0	0	0	0	0	0	0
APE19944.1	gb|APE19944.1|Streptomyces venezuelae rox [Streptomyces venezuelae]	CP018074.1		0	0	0	0	0	0	0	0	0	0	0	0	0
QBQ85438.1	gb|QBQ85438.1|tet(X3) [Acinetobacter baumannii]	MK134375.1	tetX	0	0	4	0	0	0	6	6	10	1	28	1	12
BAF34030.1	gb|BAF34030.1|BLMT [Escherichia coli]	AB255435.1	ble	0	0	0	0	0	0	1	0	0	0	0	0	0
ABU39980.1	gb|ABU39980.1|BCL-1 [Alkalihalobacillus clausii]	EF540343.1	bcl1	0	0	0	0	0	0	0	0	0	0	0	0	0
ALF06101.1	gb|ALF06101.1|CBP-1 [Clostridium botulinum]	KP718480.1	blaCBP	0	0	0	0	0	0	0	0	0	0	0	0	0
ABS70977.1	gb|ABS70977.1|AAC(3)-IId [Escherichia coli]	EU022314.1	aacC2	2	0	0	0	0	0	0	0	8	0	11	0	10
CAD60969.1	gb|CAD60969.1|HER-5 [Atlantibacter hermannii]	AJ536089.1	bla	0	0	0	0	0	0	0	0	0	0	0	0	0
AAN63647.1	gb|AAN63647.1|MUS-1 [Myroides odoratimimus]	AF441286.1	MUS-1	0	0	0	0	0	0	0	0	0	0	0	0	0
BES62776.2	gb|BES62776.2|DYB-1 [Dysgonomonas capnocytophagoides]	AP028867.1	bla2	0	0	0	0	0	0	0	0	0	0	0	0	0
AAB36568.1	gb|AAB36568.1|cmlv [Streptomyces venezuelae ATCC 10712]	U09991.1	cmlv	0	0	0	0	0	0	0	0	0	0	0	0	0
AUW34365.1	gb|AUW34365.1|RSA1-1 [uncultured bacterium]	MG739510.1		0	0	0	0	0	0	0	0	0	0	0	0	0
AAF86220.1	gb|AAF86220.1|vatE [Enterococcus faecium]	AF242872.1	vat(E)	0	0	0	0	0	0	0	0	0	0	0	0	0
ACH58991.1	gb|ACH58991.1|LRA-13 [uncultured bacterium BLR13]	EU408352.1	blaLRA-13	0	0	0	0	0	0	0	0	0	0	0	0	0
ACH58994.1	gb|ACH58994.1|LRA-17 [uncultured bacterium BLR17]	EU408354.1	blaLRA-17	0	0	0	0	0	0	0	0	0	0	0	0	0
ABS43901.1	gb|ABS43901.1|cmeA [Campylobacter jejuni subsp. doylei 269.97]	CP000768.1	cmeA	0	0	0	0	0	0	0	0	0	0	0	0	0
AAG03548.1	gb|AAG03548.1|TriC [Pseudomonas aeruginosa PAO1]	AE004091.2		0	0	0	0	0	0	3	6	1	0	3	0	0
