Contig	10_S15.sorted Read Count	12_S16.sorted Read Count	13_S17.sorted Read Count	14_S18.sorted Read Count	1_S6.sorted Read Count	2_S7.sorted Read Count	3_S8.sorted Read Count	4_S9.sorted Read Count	5_S10.sorted Read Count	6_S11.sorted Read Count	7_S12.sorted Read Count	8_S13.sorted Read Count	9_S14.sorted Read Count
AKQ05891.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AAA16527.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AEO25219.1	0	0	0	0	0	0	0	0	0	0	0	0	0
WLO97155.1	0	0	0	0	0	0	0	0	0	0	0	0	0
BDT38936.1	6	0	0	0	0	0	45	56	72	7	40	9	25
AAA92254.1	6	0	0	0	0	0	18	23	7	0	22	3	0
WGW19926.1	0	0	0	0	0	0	4	0	0	0	0	0	0
AND91341.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AJE92936.1	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC85639.1	0	0	0	0	0	0	0	0	0	0	0	0	0
UZX27393.1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABL75154.1	0	0	0	0	0	0	0	2	0	0	0	0	0
AKQ05894.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AKO62864.1	0	0	0	0	0	0	5	4	10	0	5	12	8
AAA27471.1	0	0	4	0	0	0	21	20	18	2	9	4	42
QVO43839.1	0	0	0	0	0	0	0	0	0	0	0	0	0
UAN43462.1	0	0	0	0	0	0	0	0	0	0	0	0	0
CAI57696.1	0	0	0	0	0	0	0	0	0	0	2	0	4
APB03222.1	0	0	0	0	0	0	0	0	0	0	0	0	0
BAP18892.1	0	0	0	0	0	0	0	0	0	0	0	0	1
AAN73274.1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABG49324.1	0	0	0	0	0	0	4	0	0	0	4	0	0
AJP77071.1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACH59005.1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDL68900.1	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC85640.1	0	0	0	0	0	0	0	0	0	0	0	0	0
BAA32494.1	0	0	0	0	0	0	0	0	0	0	0	0	0
CBE03766.1	0	0	0	0	0	0	0	0	0	0	0	0	0
APE19944.1	0	0	0	0	0	0	0	0	0	0	0	0	0
QBQ85438.1	0	0	4	0	0	0	6	6	10	1	28	1	12
BAF34030.1	0	0	0	0	0	0	1	0	0	0	0	0	0
ABU39980.1	0	0	0	0	0	0	0	0	0	0	0	0	0
ALF06101.1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABS70977.1	2	0	0	0	0	0	0	0	8	0	11	0	10
CAD60969.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AAN63647.1	0	0	0	0	0	0	0	0	0	0	0	0	0
BES62776.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AAB36568.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AUW34365.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AAF86220.1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACH58991.1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACH58994.1	0	0	0	0	0	0	0	0	0	0	0	0	0
