Query_ID	CARD_Protein_Accession	CARD_Protein_Description	NCBI_Nucleotide_ID	CDS_Name	Locus_Tag	CDS_ID
k141_2768559_2 # 522 # 599 # 1 # ID=146_2;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.679	NP_249397.1	gb|NP_249397.1|Pseudomonas aeruginosa catB7 [Pseudomonas aeruginosa PAO1]	NC_002516.2	NA	NA	NA
k141_2322048_1 # 1 # 390 # 1 # ID=524_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.633	AEO25219.1	gb|AEO25219.1|lin [Listeria monocytogenes FSL R2-561]	CP002003.1	NA	LMKG_02372	AEO25219.1
k141_1428997_1 # 3 # 68 # -1 # ID=1448_1;partial=10;start_type=ATG;rbs_motif=TAA;rbs_spacer=7bp;gc_cont=0.333	AKQ05895.1	gb|AKQ05895.1|tet(51) [uncultured bacterium]	KR857685.1	tet(51)	NA	AKQ05895.1
k141_1964855_2 # 269 # 337 # 1 # ID=2251_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.638	ACH58990.1	gb|ACH58990.1|LRA-12 [uncultured bacterium BLR12]	EU408351.1	blaLRA-12	AKSOIL_0006	ACH58990.1
k141_89449_1 # 1 # 237 # -1 # ID=2922_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.641	AAM92461.1	gb|AAM92461.1|catB8 [Salmonella enterica subsp. enterica serovar Typhi]	AY123251.1	catB8	NA	AAM92461.1
k141_1071856_1 # 3 # 71 # -1 # ID=5189_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.594	CAA29136.1	gb|CAA29136.1|APH(6)-Ib [Streptomyces glaucescens]	X05648.1	NA	NA	CAA29136.1
k141_268135_2 # 300 # 383 # 1 # ID=6506_2;partial=01;start_type=TTG;rbs_motif=GGGGG;rbs_spacer=5bp;gc_cont=0.631	ABS70978.1	gb|ABS70978.1|AAC(3)-IIe [Escherichia coli]	EU022315.1	aacC2	NA	ABS70978.1
k141_2858080_1 # 3 # 110 # -1 # ID=6551_1;partial=10;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.278	WP_072678505.1	gb|WP_072678505.1|OXA-732 [Pseudomonas aeruginosa]	NZ_AP022282.1	NA	H7R74_RS21220	WP_072678505.1
k141_1697123_2 # 343 # 495 # 1 # ID=7227_2;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.654	AAC05975.1	gb|AAC05975.1|TEM-60 [Providencia stuartii]	AF047171.1	bla TEM-60	NA	AAC05975.1
k141_357557_1 # 1 # 297 # 1 # ID=7392_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.256	WP_140423312.1	gb|WP_140423312.1|OXA-643 [Acinetobacter johnsonii]	NZ_JBPEHR010000001.1	NA	NA	NA
k141_982687_1 # 3 # 206 # -1 # ID=8606_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.475	CDM87362.1	gb|CDM87362.1|OXA-373 [Acinetobacter johnsonii]	HG931732.1	blaOXA-373	NA	CDM87362.1
k141_893438_1 # 237 # 371 # 1 # ID=9126_1;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.578	UHK14159.1	gb|UHK14159.1|ACT-102 [Enterobacter cloacae]	OL794656.1	blaACT	NA	UHK14159.1
k141_2143635_2 # 305 # 442 # 1 # ID=9154_2;partial=01;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.558	WP_122630823.1	gb|WP_122630823.1|EVM-1 [Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance]	NZ_WTYC01000001.1	NA	GRI69_RS00215	WP_122630823.1
k141_2322398_2 # 278 # 343 # 1 # ID=9311_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.545	BCL63355.1	gb|BCL63355.1|KBL-1 [Stenotrophomonas maltophilia]	LC579778.1	blaKBL-1	NA	BCL63355.1
k141_714827_1 # 154 # 333 # 1 # ID=11839_1;partial=01;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=3-4bp;gc_cont=0.628	EEX02086.1	gb|EEX02086.1|ANT(3'')-IIa [Acinetobacter baumannii ATCC 19606 = CIP 70.34 = JCM 6841]	GG704579.1	NA	HMPREF0010_03206	EEX02086.1
k141_1250745_1 # 1 # 69 # -1 # ID=12240_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.536	WP_104531865.1	gb|WP_104531865.1|LHK-2 [Laribacter hongkongensis]	NG_056483.1	blaLHK	A7J11_05400	WP_104531865.1
k141_1518702_1 # 167 # 226 # 1 # ID=13481_1;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.417	WMQ57530.1	gb|WMQ57530.1|OXA-1206 [Cupriavidus taiwanensis]	OR062596.1	blaOXA	NA	WMQ57530.1
k141_536314_3 # 497 # 628 # 1 # ID=15192_3;partial=01;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.265	AAA92254.1	gb|AAA92254.1|ANT(4')-Ia [Plasmid pTB913]	K02551.1	kan	NA	AAA92254.1
k141_2590615_1 # 3 # 89 # -1 # ID=16964_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.356	CAA30695.1	gb|CAA30695.1|catIII [Plasmid R387]	X07848.1	NA	NA	CAA30695.1
k141_2144072_2 # 238 # 462 # 1 # ID=18071_2;partial=01;start_type=GTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.396	AAG29761.2	gb|AAG29761.2|IND-3 [Chryseobacterium indologenes]	AF219131.2	NA	NA	AAG29761.2
k141_89981_1 # 3 # 218 # -1 # ID=18685_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.565	AAB51421.1	gb|AAB51421.1|catP [Clostridium perfringens]	U15027.1	catP	NA	AAB51421.1
k141_625862_2 # 285 # 353 # 1 # ID=19220_2;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.493	DAC85639.1	gb|DAC85639.1|FosM1 [Bacillus massiliigabonensis]	BK012111.1	fosM	NA	DAC85639.1
k141_1251039_2 # 240 # 302 # 1 # ID=19541_2;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.333	AEO25219.1	gb|AEO25219.1|lin [Listeria monocytogenes FSL R2-561]	CP002003.1	NA	LMKG_02372	AEO25219.1
k141_2948083_1 # 3 # 71 # -1 # ID=21391_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.304	ABU39980.1	gb|ABU39980.1|BCL-1 [Alkalihalobacillus clausii]	EF540343.1	bcl1	NA	ABU39980.1
k141_1340268_2 # 210 # 326 # 1 # ID=21502_2;partial=01;start_type=ATG;rbs_motif=TAA;rbs_spacer=4bp;gc_cont=0.342	AWA42532.1	gb|AWA42532.1|FRI-5 [Enterobacter cloacae complex sp.]	MH208723.1	blaFRI	NA	AWA42532.1
k141_3037197_1 # 321 # 392 # 1 # ID=22545_1;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.528	UUM03679.1	gb|UUM03679.1|FRI-12 [Enterobacter asburiae]	OP142442.1	blaFRI	NA	UUM03679.1
k141_2680000_2 # 380 # 457 # 1 # ID=22695_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.346	AKQ05891.1	gb|AKQ05891.1|tet(47) [uncultured bacterium]	KR857681.1	tet(47)	NA	AKQ05891.1
k141_2769436_1 # 1 # 357 # -1 # ID=23374_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.465	AAL68645.1	gb|AAL68645.1|catB9 [Vibrio cholerae]	AF462019.1	catB9	NA	AAL68645.1
k141_1161823_1 # 3 # 83 # -1 # ID=23699_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.543	WP_148044424.1	gb|WP_148044424.1|PAU-1 [Pseudomonas aeruginosa]	NZ_JBHOAB010000072.1	NA	ACKKG0_RS33060	WP_148044424.1
k141_804647_2 # 311 # 475 # 1 # ID=24273_2;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.418	WP_160164834.1	gb|WP_160164834.1|ADC-227 [Acinetobacter baumannii]	NZ_CP169828.1	NA	NA	NA
k141_2412266_1 # 1 # 108 # -1 # ID=24978_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.370	UOY66714.1	gb|UOY66714.1|ACT-154 [Enterobacter kobei]	CP083828.1	blaACT	LCD42_01815	UOY66714.1
k141_2144308_1 # 263 # 355 # 1 # ID=26379_1;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.366	AFO59566.1	gb|AFO59566.1|IMP-35 [Pseudomonas aeruginosa]	JF816544.1	IMP-35	NA	AFO59566.1
