Query_ID	CARD_Protein_Accession	CARD_Protein_Description	NCBI_Nucleotide_ID	CDS_Name	Locus_Tag	CDS_ID
k141_2232708_1 # 2 # 283 # -1 # ID=12_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.617	AAG03548.1	gb|AAG03548.1|TriC [Pseudomonas aeruginosa PAO1]	AE004091.2	NA	PA0158	AAG03548.1
k141_2768557_1 # 2 # 79 # -1 # ID=44_1;partial=10;start_type=ATG;rbs_motif=TAA;rbs_spacer=13bp;gc_cont=0.269	AAG03814.1	gb|AAG03814.1|MexA [Pseudomonas aeruginosa PAO1]	AE004091.2	mexA	PA0425	AAG03814.1
k141_2768559_2 # 522 # 599 # 1 # ID=146_2;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.679	AAB84282.1	gb|AAB84282.1|tet(V) [Mycolicibacterium smegmatis MC2 155]	AF030344.1	tetV	NA	AAB84282.1
k141_2322048_1 # 1 # 390 # 1 # ID=524_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.633	AAA99504.1	gb|AAA99504.1|bcrA [Bacillus licheniformis]	L20573.1	bcrA	NA	AAA99504.1
k141_803820_1 # 3 # 302 # -1 # ID=987_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.463	ADO96486.1	gb|ADO96486.1|hmrM [Haemophilus influenzae R2846]	CP002276.1	hmrM	R2846_1088	ADO96486.1
k141_2590003_2 # 378 # 509 # 1 # ID=1761_2;partial=01;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.212	VWQ04088.1	gb|VWQ04088.1|mlaF [Escherichia coli]	LR730402.1	mlaF	ECOLIKI683_04083	VWQ04088.1
k141_3036531_2 # 354 # 452 # 1 # ID=1779_2;partial=01;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.525	AAD51345.1	gb|AAD51345.1|smeB [Stenotrophomonas maltophilia]	AF173226.1	smeB	NA	AAD51345.1
k141_2590014_2 # 363 # 572 # 1 # ID=1953_2;partial=01;start_type=GTG;rbs_motif=AGGAG(G)/GGAGG;rbs_spacer=13-15bp;gc_cont=0.457	ADZ12699.1	gb|ADZ12699.1|RanA [Riemerella anatipestifer RA-GD]	CP002562.1	NA	RIA_1613	ADZ12699.1
k141_625246_1 # 1 # 369 # -1 # ID=2216_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.634	CAC14595.1	gb|CAC14595.1|smeE [Stenotrophomonas maltophilia]	AJ252200.1	smeE	NA	CAC14595.1
k141_1964853_1 # 1 # 234 # -1 # ID=2218_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.560	AAC73788.1	gb|AAC73788.1|kdpE [Escherichia coli str. K-12 substr. MG1655]	U00096.3	kdpE	b0694	AAC73788.1
k141_2411420_1 # 3 # 914 # -1 # ID=2234_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.656	AAX14802.1	gb|AAX14802.1|adeJ [Acinetobacter baumannii]	AY769962.1	adeJ	NA	AAX14802.1
k141_1429033_1 # 1 # 282 # -1 # ID=2246_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.294	APB03219.1	gb|APB03219.1|TaeA [Paenibacillus sp. LC231]	KX531049.1	taeA	NA	APB03219.1
k141_357326_2 # 608 # 868 # 1 # ID=2377_2;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.211	ABS43151.1	gb|ABS43151.1|cmeB [Campylobacter jejuni subsp. doylei 269.97]	CP000768.1	cmeB	JJD26997_1591	ABS43151.1
k141_2768643_1 # 1 # 87 # -1 # ID=2415_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.655	CAH35803.1	gb|CAH35803.1|amrA [Burkholderia pseudomallei K96243]	BX571965.1	amrA	BPSL1804	CAH35803.1
k141_357329_1 # 2 # 472 # -1 # ID=2446_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.671	AAG05914.1	gb|AAG05914.1|MuxC [Pseudomonas aeruginosa PAO1]	AE004091.2	NA	PA2526	AAG05914.1
k141_1518339_1 # 2 # 85 # -1 # ID=2671_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.476	AAG07064.1	gb|AAG07064.1|MexK [Pseudomonas aeruginosa PAO1]	AE004091.2	NA	PA3676	AAG07064.1
k141_1071783_1 # 2 # 916 # 1 # ID=2766_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.668	AAG07762.1	gb|AAG07762.1|MexV [Pseudomonas aeruginosa PAO1]	AE004091.2	NA	PA4374	AAG07762.1
k141_89450_3 # 604 # 702 # 1 # ID=2944_3;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.212	AAA99504.1	gb|AAA99504.1|bcrA [Bacillus licheniformis]	L20573.1	bcrA	NA	AAA99504.1
k141_2768676_1 # 1 # 318 # 1 # ID=3199_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.324	AAG07064.1	gb|AAG07064.1|MexK [Pseudomonas aeruginosa PAO1]	AE004091.2	NA	PA3676	AAG07064.1
k141_2322151_2 # 206 # 280 # 1 # ID=3240_2;partial=01;start_type=ATG;rbs_motif=TAA;rbs_spacer=11bp;gc_cont=0.320	APB03219.1	gb|APB03219.1|TaeA [Paenibacillus sp. LC231]	KX531049.1	taeA	NA	APB03219.1
k141_982485_1 # 1 # 492 # 1 # ID=3442_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.472	CYF42523.1	gb|CYF42523.1|kdpD [Staphylococcus aureus]	FHDU01000010.1	kdpD	ERS073883_01763	CYF42523.1
k141_2590060_1 # 2 # 178 # -1 # ID=3449_1;partial=10;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.559	AAC75137.1	gb|AAC75137.1|mdtC [Escherichia coli str. K-12 substr. MG1655]	U00096.3	mdtC	b2076	AAC75137.1
k141_2232851_2 # 236 # 379 # 1 # ID=3616_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.562	AAF42062.1	gb|AAF42062.1|mtrD [Neisseria meningitidis MC58]	AE002098.2	mtrD	NMB1715	AAF42062.1
