user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
binning_output.001	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter cryaerophilus_A	GCF_014352935.1	95.09	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter cryaerophilus_A	98.13	0.778	GCF_014352935.1	95.09	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter cryaerophilus_A	98.13	0.778	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_017996075.1, s__Aliarcobacter sp017996075, 95.0, 95.44, 0.537; GCF_003660105.1, s__Aliarcobacter cryaerophilus, 95.0, 93.54, 0.715; GCF_002993025.1, s__Aliarcobacter cryaerophilus_B, 95.0, 93.54, 0.711; GCF_003355515.1, s__Aliarcobacter trophiarum, 95.0, 89.59, 0.547; GCF_003544835.1, s__Aliarcobacter skirrowii, 95.0, 88.39, 0.402; GCF_003544915.1, s__Aliarcobacter ellisii, 95.0, 87.42, 0.253; GCF_900187115.1, s__Aliarcobacter butzleri, 95.0, 87.22, 0.243; GCF_013201935.1, s__Aliarcobacter cloacae, 95.0, 87.12, 0.253; GCF_013177675.1, s__Aliarcobacter acticola, 95.0, 86.97, 0.173; GCF_003063245.1, s__Aliarcobacter caeni, 95.0, 86.86, 0.18; GCF_013201705.1, s__Aliarcobacter faecis, 95.0, 86.58, 0.36; GCF_004299785.2, s__Aliarcobacter porcinus, 95.0, 86.4, 0.297; GCF_013372265.1, s__Aliarcobacter cibarius, 95.0, 86.33, 0.317; GCF_003063295.1, s__Aliarcobacter lacus, 95.0, 86.27, 0.26; GCF_003316695.1, s__Aliarcobacter vitoriensis, 95.0, 86.21, 0.317; GCF_016106035.1, s__Aliarcobacter vandammei, 95.0, 86.02, 0.334; GCF_003544815.1, s__Aliarcobacter suis, 95.0, 85.86, 0.178; GCF_013201665.1, s__Aliarcobacter venerupis, 95.0, 85.86, 0.174; GCF_013201625.1, s__Aliarcobacter lanthieri, 95.0, 85.85, 0.28; GCA_028690445.1, s__Aliarcobacter sp028690445, 95.0, 85.79, 0.17; GCF_013201725.1, s__Aliarcobacter defluvii, 95.0, 85.62, 0.188; GCF_004214815.1, s__Aliarcobacter thereius, 95.0, 85.57, 0.277; GCF_013177635.1, s__Aliarcobacter aquimarinus, 95.0, 85.29, 0.204; GCA_947629065.1, s__Aliarcobacter sp947629065, 95.0, 85.28, 0.19	29.08	11	N/A	N/A
binning_output.002	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter cryaerophilus_A	GCF_014352935.1	95.09	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter cryaerophilus_A	97.94	0.698	GCF_014352935.1	95.09	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter cryaerophilus_A	97.94	0.698	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_017996075.1, s__Aliarcobacter sp017996075, 95.0, 94.65, 0.385; GCF_003660105.1, s__Aliarcobacter cryaerophilus, 95.0, 93.37, 0.633; GCF_002993025.1, s__Aliarcobacter cryaerophilus_B, 95.0, 92.99, 0.647; GCF_003544835.1, s__Aliarcobacter skirrowii, 95.0, 88.59, 0.321; GCF_003355515.1, s__Aliarcobacter trophiarum, 95.0, 87.42, 0.37; GCF_016106035.1, s__Aliarcobacter vandammei, 95.0, 86.35, 0.249; GCF_013372265.1, s__Aliarcobacter cibarius, 95.0, 85.85, 0.21; GCF_013201705.1, s__Aliarcobacter faecis, 95.0, 85.52, 0.26; GCF_003063295.1, s__Aliarcobacter lacus, 95.0, 85.24, 0.171; GCF_900187115.1, s__Aliarcobacter butzleri, 95.0, 85.22, 0.186; GCF_004299785.2, s__Aliarcobacter porcinus, 95.0, 85.2, 0.206; GCF_004214815.1, s__Aliarcobacter thereius, 95.0, 85.04, 0.218; GCF_003316695.1, s__Aliarcobacter vitoriensis, 95.0, 84.95, 0.234; GCF_013201625.1, s__Aliarcobacter lanthieri, 95.0, 84.55, 0.21	30.27	11	N/A	N/A
binning_output.003	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter cryaerophilus_A	GCF_014352935.1	95.09	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter cryaerophilus_A	96.85	0.565	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_014352935.1, s__Aliarcobacter cryaerophilus_A, 95.09, 96.85, 0.565; GCA_017996075.1, s__Aliarcobacter sp017996075, 95.0, 95.98, 0.346; GCF_002993025.1, s__Aliarcobacter cryaerophilus_B, 95.0, 92.4, 0.5; GCF_003660105.1, s__Aliarcobacter cryaerophilus, 95.0, 92.05, 0.492; GCF_003544835.1, s__Aliarcobacter skirrowii, 95.0, 89.38, 0.246; GCF_003355515.1, s__Aliarcobacter trophiarum, 95.0, 87.24, 0.306; GCF_013201705.1, s__Aliarcobacter faecis, 95.0, 86.5, 0.172; GCF_016106035.1, s__Aliarcobacter vandammei, 95.0, 85.57, 0.183; GCF_013201625.1, s__Aliarcobacter lanthieri, 95.0, 84.49, 0.151	20.71	11	N/A	N/A
binning_output.004	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.5%)
binning_output.005	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.2%)
binning_output.006	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_014352935.1, s__Aliarcobacter cryaerophilus_A, 95.09, 95.76, 0.438; GCA_017996075.1, s__Aliarcobacter sp017996075, 95.0, 94.3, 0.246; GCF_003660105.1, s__Aliarcobacter cryaerophilus, 95.0, 91.75, 0.385; GCF_002993025.1, s__Aliarcobacter cryaerophilus_B, 95.0, 91.52, 0.383; GCF_003544835.1, s__Aliarcobacter skirrowii, 95.0, 88.45, 0.161; GCF_003355515.1, s__Aliarcobacter trophiarum, 95.0, 86.55, 0.189	16.84	11	0.9904	N/A
binning_output.007	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.7%)
binning_output.008	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.7%)
binning_output.009	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	12.1	11	0.62597	N/A
binning_output.010	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii	GCF_000368045.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii	96.66	0.676	GCF_000368045.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii	96.66	0.676	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002165305.2, s__Acinetobacter sp002165305, 95.0, 93.94, 0.598; GCF_002135205.1, s__Acinetobacter sp002135205, 95.0, 91.21, 0.458	28.92	11	N/A	N/A
binning_output.011	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_I;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_I;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	15.23	11	0.99263	Genome has more than 14.2% of markers with multiple hits
